公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
上海热像科技,c#,20k-25k,"移动互联网,硬件 未融资 50-150人",经验3-5年 本科,“行业爆发式增长 环境简单 项目多成长快”,云计算 智能硬件 C#/.NET ,[浦东新区]
赢时胜软件,C#开发工程师,12k-20k,金融 上市公司 500-2000人,经验1-3年 大专,“岗位稳定，薪资高”,C# .NET ,[陆家嘴]
sodick,c# .net开发工程师,10k-13k·13薪,企业服务 未融资 15-50人,经验1-3年 本科,"“五险一金,出国机会,绩效奖金,员工旅游”",企业服务 通信/网络设备 企业软件 数据库 软件开发 系统集成 ,[漕河泾]
文景信息,c#软件工程师（上海）,9k-18k,"移动互联网,其他 不需要融资 50-150人",经验1-3年 本科,"“加薪快,朝阳行业,牛人多”",物流 企业服务 C#/.NET ,[浦东新区]
上海江煦信息科技,c#软件工程师,8k-13k,"移动互联网,硬件 不需要融资 15-50人",经验1-3年 本科,“同事非常nice”,C# ,[徐汇区]
上海江煦信息科技,c#开发工程师,8k-13k,"移动互联网,硬件 不需要融资 15-50人",经验不限 本科,“同事非常nice”,C# ,[徐汇区]
奥解思,C#/.Net,15k-25k,金融 上市公司 500-2000人,经验3-5年 本科,“弹性，福利好”,,[张江]
齐数科技（上海）有限公司,资深C#工程师,20k-30k,"移动互联网,文娱丨内容 未融资 50-150人",经验5-10年 本科,“最低13薪，节假日丰厚奖金，出国游”,C#/.NET ,[徐家汇]
盈嘉互联,c#开发工程师,15k-30k·14薪,"移动互联网,企业服务 不需要融资 50-150人",经验3-5年 本科,"“五险一金,职位晋升,员工福利,股票期权”",C# .NET C++ ,[虹梅路]
Beta财富,C#高级软件工程师,23k-30k,金融 B轮 150-500人,经验5-10年 本科,“五险一金 下午茶 氛围好 扁平管理”,C# .NET ,[花木]
sodick,c# .net开发工程师,7k-10k·13薪,企业服务 未融资 15-50人,经验应届毕业生 本科,"“五险一金,出国机会,绩效奖金,员工旅游”",企业服务 通信/网络设备 企业软件 数据库 软件开发 ,[漕河泾]
分众游戏,服务端后端开发工程师（C#/.NET),13k-25k,"移动互联网,游戏 上市公司 2000人以上",经验1-3年 大专,"“项目前景好,集团公司,大IP”",游戏 移动互联网 .NET C# 服务器端 游戏开发 ,[五里桥]
亚联信息,C#开发工程师(J10726),15k-25k,"金融,软件开发 不需要融资 150-500人",经验5-10年 大专,“金融市场业务，做外汇交易，业务很富有挑战性”,移动互联网 金融 .NET C# ,[浦东新区]
派拉软件,资深 C#开发工程师,20k-25k·13薪,数据服务 C轮 150-500人,经验5-10年 本科,“年终奖高，晋升空间大，扁平化管理”,企业服务 信息安全 .NET C# C ,[张江]
微创软件,后台开发工程师（C#/.NET/Python),12k-20k,"企业服务,移动互联网 不需要融资 2000人以上",经验1-3年 本科,“微软技术 大数据”,大数据 .NET C# MySQL 数据库 ,[闵行区]
帝仪科技,高级C#软件工程师,10k-15k,"移动互联网,数据服务 未融资 50-150人",经验3-5年 本科,"“环境好,待遇高”",MFC C#/.NET C++ ,[龙华]
微创软件,C#开发测试工程师（21届）,2k-4k,"企业服务,移动互联网 不需要融资 2000人以上",经验应届毕业生 本科,“公司平台大、有发展空间”,云计算 后端 C#/.NET ,[老闵行]
擎犇网络科技,c#开发工程师,10k-20k·13薪,移动互联网 / /,经验1-3年 本科,“弹性工作制”,.NET MySQL 后端 ,[青浦区]
积准投资管理,c#开发工程师,15k-20k·13薪,金融 未融资 50-150人,经验5-10年 大专,“大牛带队 学习成长性好”,C# ,[浦东新区]
羧福汀电子科技（上海）有限公司,c#开发工程师,8k-16k,汽车丨出行 不需要融资 50-150人,经验不限 本科,“五险一金，带薪年假、免费班车、餐费补贴”,C# ,[金桥]
扩博智能,高级C#开发工程师,15k-30k,"移动互联网,数据服务 B轮 50-150人",经验3-5年 本科,“人工智能 智慧零售 带薪年假”,新零售 后端 C#/.NET ,[闵行区]
屹沪电子,c#软件工程师,12k-18k·13薪,"企业服务,移动互联网 未融资 少于15人",经验3-5年 大专,“发展前景好，绩效奖励高”,,[徐家汇]
链湃科技,c#工程师,12k-16k,"企业服务,区块链 不需要融资 15-50人",经验不限 本科,“五险一金 待遇好 定期聚餐团建”,.NET C# 后端 服务器端 ,[长宁区]
益盟操盘手,C#,20k-40k,"金融,移动互联网 上市公司 500-2000人",经验5-10年 本科,“福利待遇好，发展空间大”,后端 C#/.NET 客户端 ,[新江湾城]
意玛软件,C#/.net软件开发工程师,4k-6k,"移动互联网,电商 未融资 15-50人",经验1年以下 本科,"“C#,.net”",Java C++ ,[嘉定区]
爱圣美,c#开发工程师,10k-20k,"移动互联网,医疗丨健康 不需要融资 15-50人",经验不限 本科,“五险一金 年终奖”,Wpf Winform ,[徐汇区]
零玛信息,c#开发工程师,5k-6k,"移动互联网,企业服务 不需要融资 15-50人",经验应届毕业生 大专,"“员工活动,公司聚餐,尖端核心技术,GIS”",地图 工具软件 C# .NET C++ ,[静安区]
CLPS,c#开发工程师,20k-30k,"数据服务,金融 未融资 500-2000人",经验3-5年 本科,“六险一金、10天带薪年假”,.NET C# ,[浦东新区]
联空网络,资深ASP.NET C#开发工程师,15k-20k,"移动互联网,数据服务 A轮 50-150人",经验3-5年 本科,“五险一金 年终奖 股票期权”,医疗健康 后端 C#/.NET ,[张江]
上海喆塔信息科技有限公司,C#高级开发工程师,15k-20k·13薪,"企业服务,其他 未融资 150-500人",经验3-5年 本科,“智能制造”,移动互联网 硬件制造 .NET C# C++ ,[浦东新区]
华鑫股份,C#开发工程师,16k-25k,"金融,人工智能 上市公司 50-150人",经验3-5年 本科,“五险一金，补充公积金，节日福利，高温补贴”,C#/.NET ,[徐家汇]
尤盛信息,C#高级程序员(WPF开发),15k-25k,游戏 不需要融资 15-50人,经验3-5年 本科,“公司氛围好、有晋升空间”,C# .NET ,[张江]
互觉科技,c#开发工程师,15k-30k·13薪,"人工智能,软件开发 天使轮 少于15人",经验5-10年 本科,“现成的客户 上海交大算法团队 上海落户机会”,工具软件 C# C++ MySQL ,[闵行区]
律谷科技,C#,4k-5k,"移动互联网,其他 未融资 少于15人",经验应届毕业生 本科,“发展潜力大，扁平化管理，环境好”,后端 C#/.NET 中间件 ,[五角场]
穆际科技,c#开发工程师,6k-10k,"移动互联网,企业服务 未融资 少于15人",经验1-3年 本科,“世界500强IT团队，医疗前沿技术”,C# .NET ,[洋泾]
穆际科技,c#开发工程师,13k-17k,"移动互联网,企业服务 未融资 少于15人",经验5-10年 本科,“世界500强IT团队、医疗前沿技术”,C# .NET ,[洋泾]
奥解思,c#开发工程师,16k-30k,金融 上市公司 500-2000人,经验3-5年 本科,“外企、六险一金、快速晋升、完善福利”,后端 服务器端 分布式 C#/.NET ,[张江]
坤亿科技,c#测试开发,10k-18k,"电商,企业服务 不需要融资 150-500人",经验1-3年 本科,“五险一金 节日福利 周末双休”,C# ,[洋泾]
富欣智控,C#开发工程师,13k-23k,"通讯电子,软件开发 不需要融资 150-500人",经验3-5年 本科,“弹性工作时间，年底多薪，项目奖金”,C#/.NET ,[张江]
上海博弋,C#软件开发实习生,2k-4k,"信息安全,数据服务 未融资 15-50人",经验应届毕业生 本科,"“做五休二,国外旅游,五险一金,晋升机会”",信息安全 大数据 C#/.NET ,[漕宝路]
富欣智控,实习生C/C++/C#,2k-3k,"通讯电子,软件开发 不需要融资 150-500人",经验应届毕业生 本科,“有留用转正机会”,C C++ C#/.NET Linux/Unix ,[张江]
术木医疗,c#工程师,12k-17k,"医疗丨健康,数据服务 天使轮 50-150人",经验1-3年 本科,"“五险一金,带薪年假,技能培训”",云计算 大数据 客户端 C# ,[虹梅路]
旭同实业,c#开发工程师,13k-25k·13薪,物联网 未融资 50-150人,经验1-3年 大专,“发展空间大 公司福利好 调休”,硬件制造 .NET C# MySQL 软件开发 ,[松江区]
掌番信息,资深软件工程师（C#）,20k-40k,"企业服务,广告营销 不需要融资 15-50人",经验3-5年 本科,“技术大牛 发展潜力”,C# Python ,[黄浦区]
FNZ,"核心平台开发工程师(C#, .Net)",18k-36k,"移动互联网,金融 不需要融资 50-150人",经验3-5年 本科,“外企文化 团队年轻”,金融 软件开发 C#/.NET ,[潍坊]
蓝鸽科技,c#开发工程师,9k-13k,软件开发、人工智能 不需要融资 500-2000人,经验不限 本科,“节日福利 周末双休 五险一金 绩效奖金”,.NET C# ,[浦东新区]
心动网络,前端开发工程师（C#）(J10461),10k-20k,"移动互联网,游戏 上市公司 500-2000人",经验应届毕业生 本科,"“C#,14薪, 高品质手游 ,氛围好”",Unity3d 移动端 .NET ,[静安区]
晨鸟科技,C#软件开发工程师,8k-10k,"电商,其他 未融资 15-50人",经验1-3年 本科,"“写代码,开发,测试”",电商 软件开发 ,[张江]
星钛数码,c#开发工程师,7k-10k,其他 不需要融资 15-50人,经验3-5年 本科,“企业氛围好、年轻人多、该有的福利都有~”,C# ,[汶水路]
微蕊科技,c#开发工程师,3k-6k,"医疗丨健康,软件开发 未融资 15-50人",经验不限 不限,“C#”,MFC C#/.NET ,[嘉定区]
全程智能,高级C#开发工程师,20k-30k,"人工智能,物联网 不需要融资 15-50人",经验5-10年 本科,“五险一金/ 双休/带薪年假/年底奖金”,C# ,[浦东新区]
恩谷科技,后端开发工程师(C#),10k-15k,"企业服务,医疗丨健康 A轮 15-50人",经验3-5年 本科,"“饮料小食,弹性工作,免费班车,男女平衡”",C# .NET ,[张江]
特斯拉,软件开发工程师C#,20k-30k,汽车丨出行 天使轮 少于15人,经验5-10年 本科,"“知名车企
世界五百强
福利待遇好”",C#/.NET ,[浦东新区]
上海弥行,c#开发工程师,10k-20k,移动互联网 未融资 15-50人,经验3-5年 本科,“工业互联网”,企业服务 电子/半导体/集成电路 C# .NET ,[嘉定区]
皓为商务,C#软件工程师,8k-12k,"移动互联网,医疗丨健康 天使轮 15-50人",经验1-3年 大专,“五险一金，绩效奖金”,电商 医疗健康 后端 docker C#/.NET ,[鲁迅公园]
哈啰出行,IT系统专家(J12923),20k-40k,"移动互联网,硬件 D轮及以上 2000人以上",经验5-10年 本科,“互联网、创业、高速发展”,运维 IT支持 ,[闵行区]
字节跳动,游戏前端开发技术负责人,40k-80k,文娱丨内容 C轮 2000人以上,经验不限 本科,"“六险一金,免费三餐,租房补贴”",web前端 ,[浦东新区]
字节跳动,游戏技术音频,15k-30k,文娱丨内容 C轮 2000人以上,经验3-5年 本科,“六险一金”,扁平管理 弹性工作 大厨定制三餐 就近租房补贴 ,[浦东新区]
莉莉丝游戏,客户端开发工程师（X）,20k-40k,"移动互联网,游戏 不需要融资 500-2000人",经验3-5年 本科,"“弹性工作,福利待遇好,工作氛围好,团建”",移动端 ,[闵行区]
莉莉丝游戏,高级客户端开发工程师,25k-40k,"移动互联网,游戏 不需要融资 500-2000人",经验5-10年 不限,"“弹性工作,股票期权,精英团队,千万级用户”",游戏 前端开发 ,[闵行区]
NotionBase,unity3d开发工程师,8k-15k·14薪,"企业服务,广告营销 不需要融资 15-50人",经验1-3年 本科,“五险一金、团体险、节假日福利、发展空间”,广告营销 Unity3d 移动端 ,[徐汇区]
河姆渡电子商务有限公司,.net开发工程师,15k-20k,电商 A轮 500-2000人,经验3-5年 本科,"“绩效奖金,五险一金”",电商 .NET ,[浦东新区]
波克科技,Unity3d开发工程师 (MJ000149),10k-20k,游戏 D轮及以上 500-2000人,经验1-3年 本科,“商业保险，人才公寓，提供三餐等”,游戏 ,[长征]
北纬三十度,java资深程序员,25k-40k·14薪,"电商,医疗丨健康 未融资 150-500人",经验5-10年 本科,“大平台 福利好 发展前景好”,信息安全 企业服务 Java C# MySQL Hadoop ,[黄浦区]
箱箱物流,web前端开发工程师,18k-25k,消费生活 C轮 150-500人,经验5-10年 本科,“项目奖 大牛带队 双休”,前端开发 HTML5 ,[闵行区]
波克科技,Unity3d开发工程师 (MJ000149),10k-20k,游戏 D轮及以上 500-2000人,经验1-3年 本科,“商业保险，人才公寓，提供三餐等”,游戏 Unity3d ,[普陀区]
乐树网络,U3D客户端开发工程师,10k-20k,"移动互联网,游戏 B轮 50-150人",经验1-3年 本科,“领导nice 技术大牛”,游戏 Unity3d COCOS2D-X ,[北新泾]
乐树网络,客户端开发工程师,10k-20k,"移动互联网,游戏 B轮 50-150人",经验1年以下 本科,“领导nice 技术大牛”,游戏 C/C++ Unity3d COCOS2D-X ,[北新泾]
亚联信息,.NET开发工程师(J10813),10k-18k·13薪,"金融,软件开发 不需要融资 150-500人",经验3-5年 本科,“建行项目长期稳定”,.NET C# ,[浦东新区]
奥解思,自动化测试工程师,15k-20k,金融 上市公司 500-2000人,经验3-5年 本科,“外企工作环境，弹性工作制，薪资open。”,Selenium 自动化 脚本 自动化测试 ,[张江]
奥解思,自动化测试工程师,15k-18k·13薪,金融 上市公司 500-2000人,经验不限 本科,“外企办公环境，弹性工作制，技术前沿。”,自动化测试 Web测试 ,[张江]
圣剑网络,.net开发工程师,7k-10k·13薪,"移动互联网,游戏 D轮及以上 50-150人",经验1-3年 本科,"“上市公司,年底13薪,周末双休,带薪年假”",游戏 通信/网络设备 C# C++ MySQL 数据库 ,[张江]
圣剑网络,.net高级开发工程师,14k-18k·13薪,"移动互联网,游戏 D轮及以上 50-150人",经验3-5年 本科,"“上市公司,年底13薪,周末双休,带薪年假”",游戏 通信/网络设备 .NET 服务器端 ,[浦东新区]
上海乐蜀网络科技股份有限公司,unity3d游戏开发工程师,12k-20k·13薪,游戏 上市公司 150-500人,经验不限 本科,“福利待遇”,Unity3d ,[静安区]
番糖游戏,u3d开发工程师,10k-20k·13薪,游戏 未融资 50-150人,经验3-5年 不限,“年底双薪定期团建交通补助全勤奖下午茶”,游戏 移动端 前端开发 Unity3d C/C++ ,[徐汇区]
缙嘉科技,.net开发工程师,9k-13k,"电商,消费生活 未融资 150-500人",经验1-3年 本科,“扁平化；非外包”,电商 ,[张江]
缙嘉科技,.net高级开发工程师,20k-30k,"电商,消费生活 未融资 150-500人",经验5-10年 本科,“扁平化；非外包”,电商 ,[张江]
微创软件,ADAS测试工程师,13k-16k,"企业服务,移动互联网 不需要融资 2000人以上",经验1-3年 本科,“大平台、福利好”,绩效奖金 带薪年假 定期体检 弹性工作 ,[虹梅路]
布布乐育,php高级开发工程师,15k-25k,教育、游戏 不需要融资 15-50人,经验5-10年 本科,“环境好 行业前景优 扁平管理”,电商 教育 Java PHP ,[闵行区]
微创软件,u3d开发工程师,15k-18k,"企业服务,移动互联网 不需要融资 2000人以上",经验3-5年 大专,“六险一金 免费三餐”,Unity3d C/C++ ,[张江]
OPPO,C/C++软件工程师,30k-50k·15薪,硬件 不需要融资 2000人以上,经验3-5年 本科,“五险一金”,工具软件 C++ C ,[浦东新区]
海万科技,测试工程师,8k-16k,"移动互联网,金融 不需要融资 500-2000人",经验5-10年 大专,“平安项目 税后工资”,Web测试 测试开发 自动化测试 功能测试 ,[静安区]
文景信息,.NET项目经理,15k-25k,"移动互联网,其他 不需要融资 50-150人",经验3-5年 本科,"“上升速度快,加薪快,五险一金,做五休二”",物流 项目管理 ,[浦东新区]
契约锁,信息安全工程师,17k-25k,移动互联网 B轮 150-500人,经验3-5年 本科,“包三餐，法定节假日，员工旅行，年终奖”,安全测试 ,[无]
雪浪数制,后端开发工程师,15k-25k·14薪,移动互联网 B轮 150-500人,经验3-5年 本科,“领导nice 福利好 交通方便”,Java Node.js ,[徐汇区]
2144游戏,U3D图形程序 (MJ000239),20k-40k,"移动互联网,游戏 不需要融资 150-500人",经验3-5年 大专,"“弹性时间,环境佳,薪资水平高,福利待遇好”",移动端 前端开发 Unity3d C/C++ ,[张江]
2144游戏,客户端开发工程师,15k-20k,"移动互联网,游戏 不需要融资 150-500人",经验不限 不限,"“团队靠谱,上升空间广,下午茶,氛围轻松”",游戏 Unity3d ,[张江]
鼎捷软件,java开发工程师（2021届）,7k-10k·13薪,其他 上市公司 2000人以上,经验应届毕业生 本科,“上市公司；发展前景好；福利待遇好”,Java ,[静安区]
远之千星,Unity3D游戏开发主程序,15k-25k,游戏 不需要融资 少于15人,经验3-5年 本科,“五险一金不加班团建项目奖金等”,Unity3d C/C++ 前端开发 ,[杨行]
远之千星,Unity3D游戏开发工程师,11k-15k,游戏 不需要融资 少于15人,经验1-3年 本科,“五险一金不加班团建项目奖金等”,C/C++ Unity3d ,[杨行]
远之千星,Unity3D游戏开发主程序,15k-25k,游戏 不需要融资 少于15人,经验3-5年 本科,“五险一金不加班团建项目奖金等”,Unity3d C/C++ 前端开发 ,[杨行]
远之千星,Unity3D游戏开发工程师,11k-15k,游戏 不需要融资 少于15人,经验1-3年 本科,“五险一金不加班团建项目奖金等”,C/C++ Unity3d ,[杨行]
聪盛网络,u3d开发工程师,10k-15k,"游戏,移动互联网 A轮 150-500人",经验1-3年 大专,“免费早餐，加班补贴，节日福利、带薪年假”,游戏 Unity3d ,[闵行区]
合阔信息,Dynamics平台开发人员,15k-25k,"企业服务,移动互联网 B轮 50-150人",经验3-5年 本科,“全额缴纳五险一金，市区地铁口”,电商 ,[上海影城]
合阔信息,go语言开发工程师,13k-23k·13薪,"企业服务,移动互联网 B轮 50-150人",经验1-3年 本科,“市区地铁口 全额五险一金 双休”,电商 ,[上海影城]
光辉齐晟,高级java开发工程师,20k-40k,"移动互联网,金融 不需要融资 15-50人",经验5-10年 硕士,“周末双休，节日福利，高于同行业的薪酬。”,Java ,[城隍庙]
NIO蔚来,自动驾驶及整车运动集成验证工程师,15k-25k·13薪,"移动互联网,硬件 上市公司 2000人以上",经验3-5年 本科,“补充公积金；年底双薪；股票期权”,汽车 功能测试 ,[嘉定区]
摩卜科技,Unity3D主程,25k-40k,"移动互联网,游戏 不需要融资 15-50人",经验3-5年 本科,“弹性工作时间，月度项目奖金，可升降办公桌”,游戏 Unity3d .NET Android iOS ,[浦东新区]
摩卜科技,高级u3d客户端,15k-25k,"移动互联网,游戏 不需要融资 15-50人",经验3-5年 本科,“弹性工作时间，月度项目奖金，可升降办公桌”,游戏 移动互联网 Android iOS Unity3d .NET ,[浦东新区]
假面科技,unity3d客户端,15k-25k,社交 B轮 150-500人,经验3-5年 不限,“薪酬福利”,游戏 Unity3d ,[虹梅路]
欢动科技,资深Unity引擎开发工程,20k-30k,"移动互联网,游戏 A轮 50-150人",经验3-5年 本科,"“带薪休假,项目分红,上班撸猫”",游戏 Unity3d 架构师 前端开发 ,[浦东新区]
欢动科技,资深u3d客户端开发工程师,20k-25k,"移动互联网,游戏 A轮 50-150人",经验5-10年 本科,"“项目分红,带薪休假,上班吸猫，公司旅游”",游戏 前端开发 C/C++ Unity3d 架构师 ,[浦东新区]
探知数据,高级技术支持,10k-20k,"金融,数据服务 A轮 50-150人",经验3-5年 本科,"“年底双薪,地铁周边,期权激励,免费零食”",实施 C++ Java ,[静安区]
商帆,CRM产品研发-技术总监,25k-40k,移动互联网 B轮 150-500人,经验10年以上 本科,“晋升空间大”,新零售 企业服务 目标管理 高级技术管理 业务流程管理 ,[徐汇区]
益盟操盘手,.net架构师,20k-40k,"金融,移动互联网 上市公司 500-2000人",经验5-10年 本科,“福利待遇好，发展空间大”,后端 C#/.NET 服务器端 客户端 ,[新江湾城]
番糖游戏,unity3d开发工程师,10k-20k·13薪,游戏 未融资 50-150人,经验3-5年 本科,“年底双薪 下午茶 带薪年假 弹性工作”,游戏 ,[徐家汇]
上海域起,资深u3d开发工程师,25k-40k,"移动互联网,游戏 不需要融资 150-500人",经验5-10年 本科,“饭补 补充公积金 商业保险 免费零食”,游戏 Unity3d ,[张江]
CLPS,自动化测试工程师,18k-28k·13薪,"数据服务,金融 未融资 500-2000人",经验3-5年 本科,“薪资丰厚 外企环境氛围 业务稳定”,金融 自动化测试 测试开发 Jmeter Selenium ,[浦东新区]
VR/AR行业解决方案，VR/AR社交平台,u3d开发工程师,17k-20k,"移动互联网,企业服务 天使轮 少于15人",经验3-5年 本科,“在做一个国内没有的产品”,Unity3d VR Socket技术 ,[虹梅路]
中电数字,安全运维工程师,10k-20k,"医疗丨健康,数据服务 不需要融资 50-150人",经验不限 本科,“央企背景、医疗大数据国家队、前景好”,安全运维 网络安全运维 ,[徐汇区]
楠石信息,u3d游戏开发工程师,13k-16k,"游戏,其他 未融资 50-150人",经验3-5年 本科,“U3D”,Unity3d ,[张江]
沐瞳游戏,U3D客户端开发,20k-40k,游戏 不需要融资 500-2000人,经验5-10年 大专,“免费午晚餐；六险一金；年度旅游；”,游戏 Unity3d ,[万源城]
沐瞳游戏,技术美术TA,25k-40k,游戏 不需要融资 500-2000人,经验3-5年 大专,“双休，六险一金，年度旅游，年度体检，包餐”,技能培训 股票期权 带薪年假 绩效奖金 ,[万源城]
金慧软件,.net开发工程师,6k-12k,移动互联网 未融资 150-500人,经验1-3年 本科,“完善的培训体系 行业精英带教 发展空间大”,大数据 ,[徐汇区]
金慧软件,.net高级软件工程师,12k-20k·14薪,移动互联网 未融资 150-500人,经验3-5年 本科,“发展空间大 领导好 行业前景 下午茶 团建”,.NET C# MySQL 架构师 ,[虹梅路]
上海外教社信息技术公司,.net软件开发工程师,15k-20k·13薪,"移动互联网,教育 不需要融资 15-50人",经验1-3年 本科,“交通补贴，餐饮补贴，年终奖金，节日红包”,.NET C# ,[江湾]
CLPS,高级自动化测试工程师,16k-22k,"数据服务,金融 未融资 500-2000人",经验3-5年 本科,“外企 自动化测试 selenium”,自动化测试 Web测试 Selenium ,[浦东新区]
微软（中国）有限公司,软件开发工程师,26k-50k,"移动互联网,数据服务 上市公司 2000人以上",经验3-5年 本科,“发展前景好，福利待遇优”,移动互联网 Java C# C 后端 ,[闵行区]
微软（中国）有限公司,前端开发工程师,25k-50k,"移动互联网,数据服务 上市公司 2000人以上",经验不限 本科,“发展前景好，福利待遇优”,TypeScript Javascript Angular React ,[闵行区]
Airwallex空中云汇,商户技术支持工程师,15k-20k,"移动互联网,金融 D轮及以上 150-500人",经验1-3年 不限,“五险一金；带薪年假；晋升机会；绩效奖金”,技术支持 ,[打浦桥]
晨光科力普,JAVA 高级开发,15k-25k·13薪,"电商,企业服务 不需要融资 500-2000人",经验5-10年 不限,“拥抱新技术、高手众多、学习氛围好”,电商 Java .NET C# 后端 ,[漕河泾]
51JOB,.Net开发工程师,10k-20k,"移动互联网,企业服务 上市公司 2000人以上",经验1-3年 本科,"“上市公司,五险一金,周末双休,年度体检”",ASP C#/.NET 后端 软件开发 ,[张江]
景格信息,unity开发工程师,8k-15k·13薪,软件开发 上市公司 150-500人,经验1-3年 本科,“高质量的研发团队！”,教育 汽车 C/C++ .NET Unity3d ,[嘉定区]
绿智汇,.NET程序员,15k-20k,"电商,消费生活 A轮 50-150人",经验1-3年 本科,"“高绩效,高项目奖金,企业年金,补充公积金”",后端 ,[中原]
东方财富,系统架构师,26k-50k·14薪,金融 上市公司 2000人以上,经验5-10年 本科,“年底双薪 节日福利 福利体检”,互联网金融 高级技术管理 团队建设 决策能力 ,[徐家汇]
上海魔戈数字科技有限公司,UE引擎开发工程师（影视方向）,10k-20k,"文娱丨内容,游戏 未融资 150-500人",经验1-3年 本科,“公司福利好，发展前景大”,C/C++ ,[宝山区]
分众游戏,U3D客户端主程（手游）,15k-30k·13薪,"移动互联网,游戏 上市公司 2000人以上",经验3-5年 大专,"“知名IP,五险一金,带薪年假”",移动端 Unity3d ,[黄浦区]
阿佩吉,客户端资深工程师,20k-35k·16薪,游戏 A轮 15-50人,经验3-5年 本科,“待遇高、技术大牛多、氛围极好！”,游戏 ,[杨浦区]
上海金蝶,高级.NET 工程师（winform方向）,17k-30k,"移动互联网,企业服务 上市公司 150-500人",经验3-5年 本科,"“上市公司,管理规范,五险一金”",Java C# MySQL ,[浦东新区]
上海金蝶,.net开发工程师,10k-20k,"移动互联网,企业服务 上市公司 150-500人",经验1-3年 本科,"“上市公司,管理规范,五险一金”",ERP C++ ,[浦东新区]
招商银行信用卡中心,安全开发工程师,30k-50k,金融 上市公司 2000人以上,经验3-5年 本科,"“五险一金,职位晋升,各类补贴”",监控 ,[浦东新区]
任游网络,游戏服务端主程,15k-30k·13薪,游戏 未融资 15-50人,经验5-10年 大专,“全勤奖、绩效奖金、股权激励”,游戏 Python .NET C# ,[静安区]
任游网络,游戏开发工程师 （Unity3D客户端）,10k-12k·13薪,游戏 未融资 15-50人,经验1-3年 大专,“全勤奖、加班补助、加班餐补、办公室零食”,游戏 全栈 游戏开发 软件开发 ,[静安区]
红星美凯龙,全栈开发工程师,20k-30k,房产家居 上市公司 2000人以上,经验3-5年 本科,“晋升发展绩效奖金环境优年终奖带薪年假”,全栈 ,[长征]
红星美凯龙,全栈开发工程师（后端）,18k-25k,房产家居 上市公司 2000人以上,经验3-5年 本科,“五险一金、扁平管理、技能培训、岗位晋升”,Java C# docker C++ ,[长征]
